frame,timestamp_sec,class,confidence,x1,y1,x2,y2
241,10.125,vest,0.862,283.23,315.01,325.61,371.12
241,10.125,vest,0.8344,327.83,326.88,361.06,378.32
241,10.125,helmet,0.7532,295.29,288.87,321.89,315.93
241,10.125,helmet,0.7302,331.6,305.23,356.35,329.75
242,10.167,vest,0.8612,283.23,314.61,325.29,370.63
242,10.167,vest,0.836,327.37,326.14,361.46,378.07
242,10.167,helmet,0.7455,331.08,304.27,356.38,329.55
242,10.167,helmet,0.7215,295.43,288.52,322.32,315.73
243,10.209,vest,0.8622,283.46,314.39,325.39,370.79
243,10.209,vest,0.8335,327.08,325.54,361.56,377.99
243,10.209,helmet,0.7503,330.99,303.89,356.34,329.16
243,10.209,helmet,0.7337,295.62,288.41,322.39,315.49
244,10.251,vest,0.8625,283.54,314.48,325.37,371.02
244,10.251,vest,0.8329,326.89,325.29,361.88,377.82
244,10.251,helmet,0.7538,330.98,303.42,356.41,328.94
244,10.251,helmet,0.7281,295.62,288.38,322.42,315.5
245,10.293,vest,0.8622,283.76,314.72,325.43,371.28
245,10.293,vest,0.8299,326.38,324.66,362.14,377.4
245,10.293,helmet,0.7518,295.42,288.75,321.91,315.7
245,10.293,helmet,0.7313,331.06,302.64,356.58,328.23
246,10.335,vest,0.8597,283.7,314.97,325.68,371.85
246,10.335,vest,0.8276,326.13,324.01,362.38,377.12
246,10.335,helmet,0.7653,295.18,288.88,321.68,316.04
246,10.335,helmet,0.7214,331.28,301.83,357.4,327.77
247,10.377,vest,0.8582,283.66,315.42,325.95,373.2
247,10.377,vest,0.8289,326.27,323.54,362.79,377.19
247,10.377,helmet,0.763,294.81,289.5,321.32,316.91
247,10.377,helmet,0.7166,331.44,301.27,358.06,327.62
248,10.419,vest,0.8598,283.45,316.19,325.55,373.89
248,10.419,vest,0.8301,326.37,323.57,363.1,377.31
248,10.419,helmet,0.7391,293.98,289.89,320.99,318.31
248,10.419,helmet,0.7242,331.76,301.2,358.42,327.72
249,10.461,vest,0.8624,283.25,317.08,325.32,375.24
249,10.461,vest,0.8293,326.62,323.87,363.07,377.26
249,10.461,helmet,0.7436,332.32,301.73,358.75,327.79
249,10.461,helmet,0.6979,293.1,290.66,320.51,319.95
250,10.503,vest,0.861,282.89,318.21,325.25,375.68
250,10.503,vest,0.8298,327.47,324.61,362.75,377.52
250,10.503,helmet,0.7653,333.4,302.8,359.22,328.08
250,10.503,helmet,0.6802,292.01,291.07,320.23,321.53
251,10.545,vest,0.863,282.62,318.29,325.29,375.96
251,10.545,vest,0.8312,328.1,325.27,362.88,378.19
251,10.545,helmet,0.7762,334.14,303.49,359.87,328.78
251,10.545,helmet,0.6277,291.16,290.85,319.31,321.84
252,10.588,vest,0.8646,282.12,317.89,324.72,376.28
252,10.588,vest,0.8227,328.36,326.24,363.07,379.68
252,10.588,helmet,0.7767,335.07,303.94,361.06,329.95
252,10.588,helmet,0.5843,289.22,289.98,318.49,322.66
253,10.63,vest,0.8683,281.66,316.98,324.29,376.02
253,10.63,vest,0.8331,328.08,327.08,363.95,381.22
253,10.63,helmet,0.752,336.1,304.49,362.11,330.7
253,10.63,helmet,0.6435,288.8,289.91,317.14,320.66
254,10.672,vest,0.872,281.27,315.97,324.18,375.32
254,10.672,vest,0.8322,327.93,327.05,364.8,381.98
254,10.672,helmet,0.7202,337.25,304.33,362.97,330.91
254,10.672,helmet,0.6303,288.54,289.33,317.37,320.45
255,10.714,vest,0.8746,280.89,314.8,324.28,374.39
255,10.714,vest,0.8366,328.09,326.45,365.7,382.14
255,10.714,helmet,0.7075,338.14,303.82,363.73,330.81
255,10.714,helmet,0.6649,288.92,287.92,317.33,317.63
256,10.756,vest,0.8762,280.89,313.93,324.39,373.55
256,10.756,vest,0.8414,328.5,325.76,366.82,381.69
256,10.756,helmet,0.7025,288.7,287.63,317.43,317.06
256,10.756,helmet,0.7014,338.68,302.91,364.3,330.21
257,10.798,vest,0.8749,280.34,313.36,324.29,372.44
257,10.798,vest,0.8462,329.11,325.21,367.77,380.79
257,10.798,helmet,0.704,288.59,286.96,317.34,315.7
257,10.798,helmet,0.6803,339.08,302.34,364.83,329.26
258,10.84,vest,0.8755,279.85,312.72,324.22,371.95
258,10.84,vest,0.851,329.0,324.51,368.36,380.26
